"i","T1_mean","T1_max","T1_min","T1_sd","T1_var","T2_mean","T2_max","T2_min","T2_sd","T2_var","T3_mean","T3_max","T3_min","T3_sd","T3_var","Raw_moist_mean","Raw_moist_max","Raw_moist_min","Raw_moist_sd","Raw_moist_var","Vol_moist_mean","Vol_moist_max","Vol_moist_min","Vol_moist_sd","Vol_moist_var"
"22-10000","18.3571428571429","18.5","18.25","0.106521012905793","0.0113467261904762","18.875","19.4375","18.375","0.386961992104306","0.149739583333333","18.1875","18.75","17.6875","0.380172658143639","0.14453125","741.428571428571","748","733","5.06152621439894","25.6190476190476","1.97142857142857","2.1","1.8","0.111269728052837","0.0123809523809524"
"22-11002","18.4583333333333","22.875","16.875","2.16303281008403","4.6787109375","21.6041666666667","27.875","19.4375","3.35686679621042","11.2685546875","21.8611111111111","25.25","20.625","1.86292407550901","3.47048611111111","852","884","843","14.4827483579602","209.75","4.47777777777778","5.2","4.3","0.334580998331412","0.111944444444445"
"22-11003","18.6944444444444","19.4375","17.875","0.505288868151454","0.255316840277778","21.5","22.3125","20.875","0.549324869726467","0.3017578125","21.0486111111111","21.75","20.375","0.55267264145343","0.305447048611111","723","885","695","60.9220813826974","3711.5","1.54444444444444","5.3","0.9","1.41165781185731","1.99277777777778"
"22-11004","18.0694444444444","18.625","17.75","0.350006200341905","0.122504340277778","21.7430555555556","23.5","20.6875","1.15601536658376","1.33637152777778","21.8680555555556","23.375","20.1875","0.996793905618297","0.993598090277778","695.777777777778","706","688","5.33333333333333","28.4444444444444","0.944444444444444","1.2","0.8","0.113038833052088","0.0127777777777778"
"22-11005","16.4305555555556","18.125","16","0.655091570147089","0.429144965277778","18.8125","20.5","18.0625","0.731543744419977","0.53515625","18.0486111111111","18.75","17.4375","0.452615853800009","0.204861111111111","1052.44444444444","1111","678","140.714348158877","19800.5277777778","8.95555555555556","10.3","0.5","3.17651975875765","10.0902777777778"
"22-11006","17.4583333333333","18","17.25","0.235932326102211","0.0556640625","21.125","24.5","19.375","1.76334199745824","3.109375","22.3263888888889","27.5","20.125","2.48231592693418","6.16189236111111","1253.44444444444","1267","1238","9.58007190879994","91.7777777777778","13.4111111111111","13.7","13.1","0.202758751009941","0.041111111111111"
"22-11007","17.5138888888889","18.9375","16.25","1.03963343232656","1.08083767361111","21.1736111111111","24.1875","18.5","1.64612998381389","2.70974392361111","20.8263888888889","24.375","18.25","1.6778595512173","2.81521267361111","1560.11111111111","1569","1544","8.65223156827827","74.8611111111111","19.9","20.1","19.6","0.1802775637732","0.0325"
"22-11008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22-11009","17.4027777777778","18.0625","16.8125","0.403973321451361","0.163194444444444","19.2777777777778","20.75","18.1875","0.952028627166455","0.906358506944444","19.2291666666667","21","17.75","1.21794845436907","1.4833984375","809.444444444444","819","799","7.09068246206088","50.2777777777778","3.54444444444444","3.8","3.3","0.181046341520004","0.0327777777777778"
"22-11010","18.7152777777778","18.875","18.5","0.108753192801152","0.0118272569444444","22.2013888888889","24.25","20.625","1.35055608403025","1.82400173611111","22.4583333333333","25.5","21.0625","1.54742730039249","2.39453125","1300","1315","1287","8.87411967464942","78.75","14.3888888888889","14.7","14.1","0.190029237516523","0.0361111111111111"
"22-11011","23.8263888888889","29.3125","22.625","2.09463082632981","4.38747829861111","27.2986111111111","29.625","22.6875","2.3603118541013","5.57107204861111","27.1319444444444","29.25","22.75","2.45037553811202","6.00434027777778","1046.55555555556","1062","1011","18.6219702979512","346.777777777778","8.87777777777778","9.2","8.1","0.411636301174282","0.169444444444444"
"22-11012","17.3482142857143","17.8125","17.1875","0.213042025811587","0.0453869047619048","19.5178571428571","20.25","19","0.481039301433687","0.23139880952381","18.8571428571429","19.5","18.25","0.464514595598254","0.21577380952381","1017.42857142857","1025","1009","5.50324579550235","30.2857142857143","8.21428571428571","8.4","8","0.13451854182691","0.0180952380952382"
"22-11013","17.1527777777778","18.3125","16.875","0.480184607150671","0.230577256944444","20.8055555555556","22.5625","19.625","0.907027922821441","0.822699652777778","21.5277777777778","22.625","20.25","0.881732531408729","0.777452256944444","1049","1056","1040","5.65685424949238","32","8.92222222222222","9.1","8.7","0.139443337755679","0.0194444444444444"
"22-11014","21.96875","22.75","21.375","0.493314681516778","0.243359375","22.59375","26.25","20.25","2.03552434890865","4.143359375","22.1458333333333","25.5","19.9375","1.92380915546908","3.70104166666667","1142.5","1178","1123","21.5104625705725","462.7","11.0166666666667","11.8","10.6","0.466547603859099","0.217666666666667"
"22-11015","24.6666666666667","25.75","23.8125","0.692453743942511","0.4794921875","27.9236111111111","30.3125","26.375","1.47564133891373","2.17751736111111","25.5763888888889","27.375","24.3125","1.01491695404654","1.03005642361111","1231.11111111111","1259","1210","18.0446975899047","325.611111111111","12.9111111111111","13.5","12.5","0.391932533876828","0.153611111111111"
"22-11016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22-11019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22-11020","21.9652777777778","24.125","21.25","1.01025557135036","1.02061631944444","24.9791666666667","25.6875","23.625","0.651020832999989","0.423828125","23.4236111111111","24.625","22.25","0.746592374466222","0.557400173611111","1203.77777777778","1209","1191","6.18016540591305","38.1944444444444","12.3","12.4","12","0.14142135623731","0.0200000000000001"
"22-11021","16.6607142857143","16.875","16.5","0.172516389835589","0.0297619047619048","17.5267857142857","17.8125","17.25","0.219068645471166","0.0479910714285714","17.2053571428571","17.5","16.875","0.193360784175962","0.0373883928571429","896.571428571429","901","892","2.93582145558064","8.61904761904762","5.51428571428571","5.6","5.4","0.0690065559342352","0.00476190476190473"
