"i","T1_mean","T1_max","T1_min","T1_sd","T1_var","T2_mean","T2_max","T2_min","T2_sd","T2_var","T3_mean","T3_max","T3_min","T3_sd","T3_var","Raw_moist_mean","Raw_moist_max","Raw_moist_min","Raw_moist_sd","Raw_moist_var","Vol_moist_mean","Vol_moist_max","Vol_moist_min","Vol_moist_sd","Vol_moist_var"
"24-11001","17.3541666666667","17.75","17","0.310933574095819","0.0966796875","27.3819444444444","29.125","25.75","1.14199166602816","1.30414496527778","25.2777777777778","26.875","24.375","0.838590190107447","0.703233506944444","1275.55555555556","1301","1232","23.4739808677135","551.027777777778","13.8666666666667","14.4","12.9","0.51478150704935","0.265"
"24-11002","22.2265625","22.75","22","0.236080107091398","0.0557338169642857","27.890625","30.25","27","1.10687280692692","1.22516741071429","24.6328125","25.875","24.125","0.601743653150694","0.362095424107143","995.375","1003","980","7.61460063674667","57.9821428571429","7.725","7.9","7.4","0.158113883008419","0.025"
"24-11003","18.2986111111111","19.25","17.6875","0.54106537138419","0.292751736111111","25.4722222222222","30.5","20.875","3.51449441697443","12.3516710069444","22.7361111111111","27","18.75","2.89425916446871","8.37673611111111","1100.11111111111","1126","1065","20.2141314706101","408.611111111111","10.0444444444444","10.6","9.3","0.43906466241065","0.192777777777778"
"24-11004","18.9097222222222","20.5625","17.625","1.05146433935937","1.10557725694444","27.2152777777778","31.25","21.875","3.23163548098242","10.4434678819444","24.5625","28.25","19.75","2.90826543020062","8.4580078125","1304","1320","1283","12.2474487139159","150","14.4777777777778","14.8","14","0.277388616284887","0.0769444444444445"
"24-11005","21.1640625","23.0625","19.8125","1.209125227991","1.46198381696429","30.84375","33.375","27.375","2.17509236257091","4.73102678571429","27.5234375","29.5","25.25","1.56194186460087","2.43966238839286","925.625","939","905","11.783008347374","138.839285714286","6.175","6.5","5.7","0.271240536372107","0.0735714285714286"
"24-11006","21.7638888888889","24.6875","19.625","1.69897078730363","2.88650173611111","29.0347222222222","32.625","22","3.3800759154854","11.4249131944444","27.1180555555556","29.75","24.75","1.60761264077444","2.58441840277778","1177.77777777778","1191","1149","13.2549781004891","175.694444444444","11.7333333333333","12","11.1","0.3","0.0900000000000001"
"24-11007","25.5972222222222","27.5","24","1.23708606994196","1.53038194444444","22.4305555555556","24.875","21.5","1.06820364527452","1.14105902777778","21.4722222222222","22.5","20.6875","0.484234970798727","0.234483506944444","1289.66666666667","1292","1288","1.5","2.25","14.1777777777778","14.2","14.1","0.0440958551844097","0.00194444444444443"
"24-11008","19.7291666666667","20.0625","19.5","0.209631372890605","0.0439453125","21.2777777777778","21.75","20.875","0.304765392465162","0.0928819444444444","21.0972222222222","21.5625","20.5","0.387942176032001","0.150499131944444","1069.11111111111","1077","1061","5.48735921105144","30.1111111111111","9.35555555555556","9.5","9.2","0.10137937550497","0.0102777777777778"
"24-11009","22.1180555555556","22.8125","21.625","0.395833333333333","0.156684027777778","21.3263888888889","22.5","20.5625","0.570068678854672","0.324978298611111","21.3055555555556","22.375","20.875","0.471289417744317","0.222113715277778","1313.33333333333","1319","1306","5.70087712549569","32.5","14.6666666666667","14.8","14.5","0.13228756555323","0.0175000000000001"
"24-11010","24.4097222222222","25.625","23.375","0.750723031113635","0.563585069444444","21.6458333333333","22.125","20.625","0.5321683239352","0.283203125","21.1805555555556","21.625","20.375","0.409177486279216","0.167426215277778","1416.77777777778","1418","1414","1.48136573621926","2.19444444444444","16.8777777777778","16.9","16.8","0.0440958551844089","0.00194444444444436"
"24-11011","24.8402777777778","25.875","23.9375","0.693940789581103","0.481553819444444","27.4375","28.875","25","1.2778155187663","1.6328125","25.5555555555556","26.625","22.875","1.27147354092713","1.61664496527778","1341","1373","1313","22.2261107708929","494","15.2888888888889","16","14.7","0.488478362991762","0.238611111111111"
"24-11012","27.1805555555556","28.125","26.25","0.682112730989371","0.465277777777778","31.6527777777778","33.8125","29.25","1.50231303144333","2.25694444444444","27.4722222222222","28.875","26.375","0.742219480305148","0.550889756944444","1145.88888888889","1159","1133","9.45310060832482","89.3611111111111","11.0444444444444","11.3","10.8","0.19436506316151","0.0377777777777777"
"24-11013","27.4375","28.875","25.75","1.03691625143982","1.0751953125","27.1041666666667","28.625","25.125","1.12803410298625","1.2724609375","25.0347222222222","26.125","24.0625","0.646588939701604","0.418077256944444","1226.55555555556","1252","1172","26.3444069543761","694.027777777778","12.8222222222222","13.4","11.6","0.597448277631164","0.356944444444445"
"24-11014","27.0138888888889","28","26.25","0.55267264145343","0.305447048611111","26.4375","27.375","24.9375","0.737526482575372","0.5439453125","24.9097222222222","26","23.9375","0.59793844327359","0.357530381944444","1400.77777777778","1413","1389","8.88506862350789","78.9444444444444","16.5444444444444","16.8","16.3","0.181046341520004","0.0327777777777778"
"24-11015","17.9791666666667","18.625","17.875","0.246062746062869","0.060546875","21.125","21.375","20.875","0.207289049397212","0.04296875","21.6944444444444","22.125","21","0.403166718340909","0.162543402777778","2275.55555555556","2294","2150","47.2019891294612","2228.02777777778","34.0666666666667","34.4","31.7","0.890224690738243","0.7925"
